benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
COFs,Curriculum,44,0.0,15,230,-18.53448594783226,335.857,1.9940309089152748,2.2692752980145108,0.2859504132231406,3.1913180532272114,7.398482753240921,363
COFs,Two-Stage Joint,43,2.768421691579954,15,230,-15.766064256252305,541.305,1.9856270588032403,2.1504941338517884,0.2556473829201102,2.5493471243549726,2.6212297829746767,363
COFs,Two-Stage Joint,42,1.6834527522225677,15,230,-16.85103319560969,551.022,1.996612635656998,2.177048851149515,0.24022038567493115,2.670277607909393,3.0621343351656756,363
COFs,DNGO-Joint,42,1.6834527522225677,15,230,-16.85103319560969,316.922,1.8941174165913202,2.1513649720856938,0.2705234159779614,2.708380181688276,5.129676037181785,363
COFs,DNGO-Joint,43,1.6834527522225677,15,230,-16.85103319560969,330.345,1.9134747141535704,2.17441710731628,0.2650137741046832,2.775276602763737,12.728315415112926,363
COFs,Two-Stage Joint,48,0.0,15,230,-18.53448594783226,473.306,1.7612264498770092,2.224499223784385,0.2611570247933884,3.161188546600152,2.0074872104109427,363
COFs,Two-Stage Joint,44,1.6834527522225677,15,230,-16.85103319560969,501.036,2.0409458291427223,2.2213624018982223,0.2391184573002755,2.8651048627142464,2.33972911408046,363
COFs,Two-Stage Joint,50,1.6834527522225677,15,230,-16.85103319560969,490.815,1.9000110323745896,2.1688699167762353,0.24738292011019286,2.7583075702065005,2.7977772546509843,363
COFs,Two-Stage Joint,45,2.768421691579954,15,230,-15.766064256252305,503.266,1.896277972181757,2.137169406775822,0.2509641873278238,2.61074061952779,2.6937729130603048,363
COFs,Two-Stage Joint,46,2.768421691579954,15,230,-15.766064256252305,501.072,1.9307772748549061,2.1328877284275793,0.2457300275482094,2.5342316742575024,3.112800391647621,363
COFs,Two-Stage Joint,47,0.0,15,230,-18.53448594783226,502.726,1.7361601530537936,2.194890325709192,0.27300275482093667,3.0503227397458788,1.8637487189849384,363
COFs,Two-Stage Joint,51,2.768421691579954,15,230,-15.766064256252305,496.58,1.9787519679960264,2.1505879179125205,0.2391184573002755,2.557771969425926,3.314153202735934,363
COFs,Two-Stage Joint,49,2.768421691579954,15,230,-15.766064256252305,516.433,2.00820892547032,2.1586018558320506,0.2330578512396695,2.5523899695158536,2.730673051632223,363
COFs,DNGO-Joint,44,1.6834527522225677,15,230,-16.85103319560969,326.452,1.9316039999670398,2.2029886397674274,0.2710743801652893,2.8977590045765833,6.6132820920835576,363
COFs,DNGO-Joint,45,2.768421691579954,15,230,-15.766064256252305,337.583,1.7829892118813924,2.1318028247245357,0.2603305785123967,2.726484874479974,6.641060212732371,363
COFs,DNGO-Joint,46,1.6834527522225677,15,230,-16.85103319560969,333.012,2.178656699728081,2.242609149494575,0.2338842975206612,2.7767704497601615,7.023965675201439,363
COFs,DNGO-Joint,47,1.6834527522225677,15,230,-16.85103319560969,330.249,1.9480868932016369,2.1907084116986986,0.27465564738292014,2.8288799667149633,4.942350793276426,363
COFs,DNGO-Joint,48,0.0,15,230,-18.53448594783226,329.964,1.7588251934951304,2.229008230854824,0.2749311294765841,3.185538497003591,4.310219517590231,363
