benchmark,model,acq,mean
FreeSolv,Curriculum,mes,0.6585000000000001
FreeSolv,Curriculum,ts,0.3095
FreeSolv,DNGO-Gradient,greedy,0.6310000000000002
FreeSolv,DNGO-Gradient,ei,0.8630000000000001
FreeSolv,DNGO-Gradient,pi,0.6315000000000002
FreeSolv,DNGO-Gradient,ucb,0.8020000000000002
FreeSolv,DNGO-Gradient,mes,0.7615000000000001
FreeSolv,DNGO-Gradient,ts,0.29950000000000004
FreeSolv,DNGO-Joint,greedy,0.6875000000000002
FreeSolv,DNGO-Joint,ei,0.8275000000000002
FreeSolv,DNGO-Joint,pi,0.6680000000000004
FreeSolv,DNGO-Joint,ucb,0.8785000000000002
FreeSolv,DNGO-Joint,mes,0.8710000000000002
FreeSolv,DNGO-Joint,ts,0.3135
FreeSolv,Domain Adaptation (MMD),greedy,0.5720000000000002
FreeSolv,Domain Adaptation (MMD),ei,0.7610000000000002
FreeSolv,Domain Adaptation (MMD),pi,0.6665000000000003
FreeSolv,Domain Adaptation (MMD),ucb,0.8250000000000002
FreeSolv,Domain Adaptation (MMD),mes,1.004
FreeSolv,Domain Adaptation (MMD),ts,0.33599999999999997
FreeSolv,Knowledge Distillation,greedy,0.49850000000000005
FreeSolv,Knowledge Distillation,ei,0.6980000000000002
FreeSolv,Knowledge Distillation,pi,0.5945
FreeSolv,Knowledge Distillation,ucb,0.6505
FreeSolv,Knowledge Distillation,mes,0.7345000000000003
FreeSolv,Knowledge Distillation,ts,0.3025000000000001
FreeSolv,Progressive,greedy,0.5770000000000002
FreeSolv,Progressive,ei,0.794
FreeSolv,Progressive,pi,0.687
FreeSolv,Progressive,ucb,0.784
FreeSolv,Progressive,mes,0.7334999999999999
FreeSolv,Progressive,ts,0.30299999999999994
FreeSolv,Pseudo-Labeling,greedy,0.5390000000000001
FreeSolv,Pseudo-Labeling,ei,0.6835000000000002
FreeSolv,Pseudo-Labeling,pi,0.633
FreeSolv,Pseudo-Labeling,ucb,0.6969999999999998
FreeSolv,Pseudo-Labeling,mes,0.6680000000000001
FreeSolv,Pseudo-Labeling,ts,0.30300000000000005
FreeSolv,Sequential,greedy,0.5995000000000001
FreeSolv,Sequential,ei,0.8410000000000002
FreeSolv,Sequential,pi,0.7920000000000003
FreeSolv,Sequential,ucb,0.974
FreeSolv,Sequential,mes,0.8230000000000001
FreeSolv,Sequential,ts,0.3015
FreeSolv,Soft Parameter Sharing,greedy,0.7225000000000001
FreeSolv,Soft Parameter Sharing,ei,0.905
FreeSolv,Soft Parameter Sharing,pi,0.8135
FreeSolv,Soft Parameter Sharing,ucb,0.8495000000000001
FreeSolv,Soft Parameter Sharing,mes,1.0800000000000005
FreeSolv,Soft Parameter Sharing,ts,0.3125000000000001
FreeSolv,Two-Stage Joint,greedy,0.596
FreeSolv,Two-Stage Joint,ei,0.7385
FreeSolv,Two-Stage Joint,pi,0.7485
FreeSolv,Two-Stage Joint,ucb,0.7355
FreeSolv,Two-Stage Joint,mes,0.68
FreeSolv,Two-Stage Joint,ts,0.31399999999999995
Polarizability,Adapter,greedy,0.14175191815856775
Polarizability,Adapter,ei,0.15719309462915598
Polarizability,Adapter,pi,0.1423113810741688
Polarizability,Adapter,ucb,0.1715153452685422
Polarizability,Adapter,mes,0.16702365728900254
Polarizability,Adapter,ts,0.07266624040920706
Polarizability,Curriculum,greedy,0.13972186700767258
Polarizability,Curriculum,ei,0.12838874680306908
Polarizability,Curriculum,pi,0.12770140664961632
Polarizability,Curriculum,ucb,0.1152653452685422
Polarizability,Curriculum,mes,0.12121163682864448
Polarizability,Curriculum,ts,0.05874360613810731
Polarizability,DNGO-Gradient,greedy,0.12690217391304343
Polarizability,DNGO-Gradient,ei,0.13415920716112534
Polarizability,DNGO-Gradient,pi,0.1274936061381074
Polarizability,DNGO-Gradient,ucb,0.12121163682864451
Polarizability,DNGO-Gradient,mes,0.1271579283887468
Polarizability,DNGO-Gradient,ts,0.061732736572889926
Polarizability,DNGO-Joint,greedy,0.14593989769820967
Polarizability,DNGO-Joint,ei,0.12017263427109974
Polarizability,DNGO-Joint,pi,0.1273337595907928
Polarizability,DNGO-Joint,ucb,0.11473785166240406
Polarizability,DNGO-Joint,mes,0.11473785166240406
Polarizability,DNGO-Joint,ts,0.061540920716112425
Polarizability,Domain Adaptation (MMD),greedy,0.1267263427109974
Polarizability,Domain Adaptation (MMD),ei,0.12805306905370845
Polarizability,Domain Adaptation (MMD),pi,0.13578964194373397
Polarizability,Domain Adaptation (MMD),ucb,0.11472186700767262
Polarizability,Domain Adaptation (MMD),mes,0.12100383631713552
Polarizability,Domain Adaptation (MMD),ts,0.05874360613810731
Polarizability,Knowledge Distillation,greedy,0.13972186700767258
